,Lithology_type,Event_name,260,245,210,160,145,125,100,80,55,45,0
0,Shales,Layer 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.978533094812168
1,Sandstones,Layer 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.049278412391093,29.909317218723103
2,Shales,Layer 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.23123720930233,50.47926052330344,55.76519825629019
3,Chalk,Layer 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.08200070921986,81.21893252845126,80.52669598429634,85.17654577402068
4,Sandstones,Layer 6,0.0,0.0,0.0,0.0,0.0,0.0,32.93631074540174,69.94441639169807,91.77464114413374,91.00978969194398,95.61410627740888
5,Limestones,Layer 5,0.0,0.0,0.0,0.0,0.0,24.198716216216216,36.23922786251886,72.92838992773412,94.72107931980942,93.96147921897101,98.55554771885032
6,Dolomite,Layer 4,0.0,0.0,0.0,0.0,23.339395229357798,27.4437830510786,39.2706825872895,75.8760702947066,97.6636651454975,96.90833256759485,101.49866698490537
7,Sandstones,Layer 3,0.0,0.0,0.0,24.008190513068733,27.040830272920235,31.00397220887144,42.467928085837414,78.8562290555972,100.60850677182857,99.84126635268683,104.4294511088163
8,Anhydrite,Layer 2,0.0,0.0,23.856095935162095,27.854165974415366,30.877232143244427,34.8386933393785,46.28562690545504,82.66129904728464,104.41420395387347,103.64334864695115,108.2327553482178
9,Quartzite,Layer 1,0.0,22.25883125,26.041462177200312,30.014229827918548,33.01309265279856,36.95898143651226,48.37619251055058,84.73691337849483,106.48897986947856,105.72182806574098,110.3091884692369
