,Lithology_type,Event_name,257.0,254.0,251.0,248.0,245.0,250.0,240.0,230.0,220.0,210.0,200.0,190.0,180.0,170.0,160.0,157.0,154.0,151.0,148.0,145.0,141.0,137.0,133.0,129.0,125.0,120.0,115.0,110.0,105.0,100.0,96.0,92.0,88.0,84.0,80.0,75.0,70.0,65.0,60.0,55.0,53.0,51.0,49.0,47.0,45.0,36.0,27.0,18.0,9.0,0.0
11,Shales,Layer 8_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1628,1.2369999999999999,1.2551999999999999,1.272,1.2873999999999999,1.3042,1.3182,1.3322,1.3434,1.3545999999999998,1.3644,1.3741999999999999
12,Shales,Layer 8_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1656,1.244,1.3042,1.3182,1.3322,1.3461999999999998,1.3588,1.3728,1.3840000000000001,1.3938,1.4036000000000002,1.4120000000000001,1.4204
13,Shales,Layer 8_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,1.2496,1.3126,1.3616000000000001,1.3741999999999999,1.3868,1.3980000000000001,1.4092000000000002,1.4218,1.4302,1.44,1.4484,1.4554,1.4638
14,Shales,Layer 8_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1698,1.2551999999999999,1.3195999999999999,1.3728,1.4148,1.4245999999999999,1.4358,1.4456,1.4554,1.4652,1.4736,1.482,1.489,1.496,1.5030000000000001
15,Chalk,Layer 7_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6907999999999999,1.9068,2.0688,2.1984000000000004,2.3037,2.3901,2.409,2.4305999999999996,2.4522,2.4711000000000003,2.4899999999999998,2.5061999999999998,2.5223999999999998,2.5385999999999997,2.5521,2.5629
16,Chalk,Layer 7_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7043000000000001,2.1038999999999994,2.2226999999999997,2.3280000000000003,2.4171,2.4899999999999998,2.5547999999999997,2.5709999999999997,2.5845,2.6007000000000002,2.6169000000000002,2.6304,2.6439,2.6547,2.6682,2.679,2.6871
17,Chalk,Layer 7_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7151,2.1282,2.3631,2.4441,2.517,2.5818,2.6384999999999996,2.6871,2.6978999999999997,2.7114,2.7222,2.7357,2.7464999999999997,2.7573,2.7653999999999996,2.7735,2.7842999999999996,2.7924
18,Chalk,Layer 7_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7232,2.1471,2.3873999999999995,2.5493999999999994,2.6088,2.6654999999999998,2.7140999999999997,2.7573,2.7950999999999997,2.8032,2.814,2.8220999999999994,2.8329,2.8409999999999997,2.8491,2.8571999999999997,2.8625999999999996,2.8707,2.8760999999999997
19,Chalk,Layer 7_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7313,2.1633,2.409,2.5736999999999997,2.6925,2.7384,2.7788999999999997,2.8194,2.8518,2.8815,2.8895999999999997,2.8976999999999995,2.9057999999999997,2.9111999999999996,2.9193,2.9247,2.9328,2.9381999999999997,2.9436,2.949
20,Sandstones,Layer 6_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1823,3.4860999999999995,3.6772,3.8242,3.9417999999999993,4.0398,4.079,4.1231,4.1574,4.1966,4.226,4.235799999999999,4.2456,4.2554,4.2652,4.2701,4.2799,4.2848,4.2946,4.2995,4.3044
21,Sandstones,Layer 6_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1823,3.3342000000000005,3.6085999999999996,3.7801,3.9173000000000004,4.0251,4.113300000000001,4.1525,4.1917,4.226,4.2603,4.2897,4.2995,4.3044,4.3142000000000005,4.324,4.3289,4.3387,4.3436,4.3534,4.3583,4.3632
