,Lithology_type,Event_name,260,257.0,254.0,251.0,248.0,245.0,250.0,240.0,230.0,220.0,210.0,200.0,190.0,180.0,170.0,160.0,157.0,154.0,151.0,148.0,145.0,141.0,137.0,133.0,129.0,125.0,120.0,115.0,110.0,105.0,100.0,96.0,92.0,88.0,84.0,80.0,75.0,70.0,65.0,60.0,55.0,53.0,51.0,49.0,47.0,45.0,36.0,27.0,18.0,9.0,0.0
11,Shales,Layer 8_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598,0.545,0.532,0.52,0.509,0.497,0.487,0.477,0.469,0.461,0.454,0.447
12,Shales,Layer 8_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.596,0.54,0.497,0.487,0.477,0.467,0.458,0.448,0.44,0.433,0.426,0.42,0.414
13,Shales,Layer 8_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595,0.536,0.491,0.456,0.447,0.438,0.43,0.422,0.413,0.407,0.4,0.394,0.389,0.383
14,Shales,Layer 8_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593,0.532,0.486,0.448,0.418,0.411,0.403,0.396,0.389,0.382,0.376,0.37,0.365,0.36,0.355
15,Chalk,Layer 7_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.596,0.516,0.456,0.408,0.369,0.337,0.33,0.322,0.314,0.307,0.3,0.294,0.288,0.282,0.277,0.273
16,Chalk,Layer 7_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,0.443,0.399,0.36,0.327,0.3,0.276,0.27,0.265,0.259,0.253,0.248,0.243,0.239,0.234,0.23,0.227
17,Chalk,Layer 7_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587,0.434,0.347,0.317,0.29,0.266,0.245,0.227,0.223,0.218,0.214,0.209,0.205,0.201,0.198,0.195,0.191,0.188
18,Chalk,Layer 7_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.427,0.338,0.278,0.256,0.235,0.217,0.201,0.187,0.184,0.18,0.177,0.173,0.17,0.167,0.164,0.162,0.159,0.157
19,Chalk,Layer 7_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581,0.421,0.33,0.269,0.225,0.208,0.193,0.178,0.166,0.155,0.152,0.149,0.146,0.144,0.141,0.139,0.136,0.134,0.132,0.13
20,Sandstones,Layer 6_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.411,0.372,0.342,0.318,0.298,0.29,0.281,0.274,0.266,0.26,0.258,0.256,0.254,0.252,0.251,0.249,0.248,0.246,0.245,0.244
21,Sandstones,Layer 6_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.442,0.386,0.351,0.323,0.301,0.283,0.275,0.267,0.26,0.253,0.247,0.245,0.244,0.242,0.24,0.239,0.237,0.236,0.234,0.233,0.232
22,Sandstones,Layer 6_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.441,0.414,0.364,0.331,0.306,0.286,0.268,0.261,0.254,0.247,0.241,0.235,0.234,0.232,0.23,0.229,0.227,0.226,0.225,0.223,0.222,0.221
23,Sandstones,Layer 6_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.441,0.413,0.388,0.343,0.313,0.29,0.271,0.255,0.248,0.242,0.235,0.229,0.224,0.222,0.221,0.219,0.218,0.216,0.215,0.214,0.213,0.212,0.21
24,Sandstones,Layer 6_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472,0.44,0.412,0.387,0.365,0.323,0.296,0.275,0.257,0.242,0.236,0.23,0.224,0.218,0.213,0.212,0.21,0.209,0.207,0.206,0.205,0.204,0.203,0.202,0.2
25,Limestones,Layer 5_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.334,0.287,0.249,0.218,0.191,0.147,0.121,0.103,0.089,0.078,0.074,0.069,0.065,0.062,0.059,0.058,0.057,0.056,0.055,0.055,0.054,0.053,0.053,0.052,0.051
26,Limestones,Layer 5_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.378,0.323,0.278,0.242,0.211,0.186,0.143,0.118,0.1,0.087,0.076,0.072,0.068,0.064,0.06,0.057,0.057,0.056,0.055,0.054,0.053,0.053,0.052,0.051,0.051,0.05
27,Limestones,Layer 5_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.378,0.365,0.312,0.269,0.234,0.205,0.181,0.139,0.115,0.098,0.085,0.074,0.07,0.066,0.062,0.059,0.056,0.055,0.054,0.054,0.053,0.052,0.051,0.051,0.05,0.05,0.049
28,Limestones,Layer 5_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.378,0.365,0.352,0.302,0.261,0.228,0.2,0.176,0.136,0.112,0.095,0.082,0.072,0.068,0.064,0.061,0.058,0.055,0.054,0.053,0.052,0.052,0.051,0.05,0.05,0.049,0.048,0.048
29,Limestones,Layer 5_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.378,0.365,0.352,0.34,0.292,0.253,0.221,0.194,0.171,0.132,0.109,0.093,0.08,0.071,0.067,0.063,0.059,0.056,0.053,0.053,0.052,0.051,0.05,0.05,0.049,0.048,0.048,0.047,0.047
30,Dolomite,Layer 4_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.187,0.18,0.174,0.168,0.162,0.14,0.121,0.106,0.093,0.082,0.064,0.053,0.045,0.039,0.034,0.032,0.03,0.029,0.027,0.026,0.025,0.025,0.025,0.024,0.024,0.024,0.023,0.023,0.023,0.023
31,Dolomite,Layer 4_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.183,0.177,0.17,0.165,0.159,0.154,0.133,0.115,0.101,0.089,0.078,0.061,0.05,0.043,0.037,0.032,0.031,0.029,0.027,0.026,0.024,0.024,0.024,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.021
32,Dolomite,Layer 4_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.183,0.173,0.167,0.161,0.156,0.15,0.145,0.126,0.109,0.096,0.084,0.074,0.058,0.048,0.041,0.035,0.031,0.029,0.028,0.026,0.025,0.023,0.023,0.023,0.022,0.022,0.022,0.021,0.021,0.021,0.021,0.02
33,Dolomite,Layer 4_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.183,0.173,0.164,0.158,0.152,0.147,0.142,0.138,0.119,0.104,0.091,0.08,0.071,0.055,0.045,0.039,0.033,0.029,0.028,0.026,0.025,0.023,0.022,0.022,0.022,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.019
34,Dolomite,Layer 4_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.183,0.173,0.164,0.155,0.149,0.144,0.139,0.135,0.13,0.113,0.098,0.086,0.076,0.067,0.052,0.043,0.037,0.032,0.028,0.026,0.025,0.024,0.022,0.021,0.021,0.021,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.019
35,Sandstones,Layer 3_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.472,0.46,0.449,0.438,0.427,0.42,0.414,0.407,0.401,0.396,0.371,0.349,0.329,0.311,0.294,0.263,0.241,0.225,0.211,0.199,0.194,0.189,0.184,0.179,0.175,0.174,0.173,0.172,0.171,0.17,0.169,0.168,0.167,0.166,0.165
36,Sandstones,Layer 3_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.474,0.462,0.451,0.44,0.429,0.419,0.412,0.406,0.4,0.394,0.388,0.364,0.343,0.323,0.306,0.29,0.259,0.238,0.221,0.208,0.196,0.191,0.186,0.181,0.177,0.173,0.172,0.171,0.17,0.169,0.168,0.167,0.166,0.165,0.164,0.163
37,Sandstones,Layer 3_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.474,0.464,0.453,0.442,0.431,0.421,0.411,0.404,0.398,0.392,0.387,0.381,0.358,0.337,0.318,0.301,0.285,0.255,0.234,0.218,0.205,0.193,0.188,0.184,0.179,0.175,0.171,0.17,0.169,0.167,0.166,0.165,0.164,0.163,0.163,0.162,0.161
38,Sandstones,Layer 3_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.474,0.464,0.455,0.444,0.433,0.423,0.413,0.403,0.397,0.391,0.385,0.38,0.374,0.352,0.331,0.313,0.296,0.28,0.251,0.231,0.215,0.202,0.191,0.186,0.181,0.177,0.172,0.168,0.167,0.166,0.165,0.164,0.163,0.162,0.161,0.16,0.16,0.159
39,Sandstones,Layer 3_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.474,0.464,0.455,0.445,0.435,0.424,0.414,0.405,0.395,0.389,0.384,0.378,0.373,0.368,0.346,0.326,0.308,0.291,0.276,0.247,0.228,0.212,0.199,0.188,0.183,0.179,0.174,0.17,0.166,0.165,0.164,0.163,0.162,0.161,0.16,0.159,0.158,0.157,0.157
40,Anhydrite,Layer 2_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.048,0.048,0.047,0.046,0.046,0.045,0.044,0.043,0.042,0.042,0.041,0.041,0.04,0.04,0.04,0.038,0.036,0.035,0.033,0.032,0.029,0.028,0.026,0.025,0.024,0.024,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.021,0.021,0.021,0.021,0.021,0.021
41,Anhydrite,Layer 2_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.048,0.047,0.046,0.046,0.045,0.044,0.043,0.043,0.042,0.041,0.04,0.04,0.04,0.039,0.039,0.038,0.037,0.035,0.034,0.032,0.031,0.029,0.027,0.026,0.024,0.023,0.023,0.023,0.022,0.022,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.02
42,Anhydrite,Layer 2_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.048,0.046,0.046,0.045,0.044,0.043,0.043,0.042,0.041,0.041,0.04,0.039,0.039,0.038,0.038,0.038,0.037,0.036,0.034,0.033,0.031,0.03,0.028,0.026,0.025,0.024,0.023,0.022,0.022,0.021,0.021,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
43,Anhydrite,Layer 2_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.048,0.046,0.045,0.044,0.043,0.043,0.042,0.042,0.041,0.04,0.039,0.039,0.038,0.038,0.037,0.037,0.036,0.036,0.034,0.033,0.032,0.03,0.029,0.027,0.025,0.024,0.023,0.022,0.022,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019
44,Anhydrite,Layer 2_5,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.048,0.046,0.045,0.044,0.043,0.042,0.041,0.041,0.04,0.04,0.039,0.038,0.038,0.037,0.036,0.036,0.036,0.035,0.035,0.033,0.032,0.031,0.029,0.028,0.026,0.025,0.023,0.022,0.021,0.021,0.021,0.02,0.02,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
45,Quartzite,Layer 1_1,0.0,0.0,0.0,0.0,0.0,0.197,0.188,0.18,0.172,0.164,0.157,0.153,0.149,0.146,0.143,0.139,0.136,0.132,0.129,0.125,0.122,0.12,0.118,0.117,0.115,0.113,0.106,0.099,0.093,0.087,0.082,0.073,0.067,0.062,0.057,0.054,0.052,0.051,0.05,0.048,0.047,0.047,0.046,0.046,0.046,0.045,0.045,0.045,0.045,0.044,0.044
46,Quartzite,Layer 1_2,0.0,0.0,0.0,0.0,0.197,0.192,0.183,0.175,0.167,0.16,0.152,0.149,0.145,0.142,0.139,0.136,0.132,0.129,0.125,0.122,0.119,0.117,0.115,0.114,0.112,0.11,0.103,0.096,0.091,0.085,0.08,0.071,0.065,0.06,0.056,0.053,0.051,0.05,0.048,0.047,0.046,0.046,0.045,0.045,0.045,0.044,0.044,0.044,0.044,0.043,0.043
47,Quartzite,Layer 1_3,0.0,0.0,0.0,0.197,0.192,0.186,0.178,0.17,0.162,0.155,0.148,0.145,0.141,0.138,0.135,0.132,0.129,0.125,0.122,0.119,0.116,0.114,0.112,0.111,0.109,0.107,0.1,0.094,0.088,0.083,0.078,0.069,0.063,0.059,0.055,0.051,0.05,0.049,0.047,0.046,0.045,0.045,0.044,0.044,0.044,0.043,0.043,0.043,0.042,0.042,0.042
48,Quartzite,Layer 1_4,0.0,0.0,0.197,0.192,0.186,0.181,0.173,0.165,0.158,0.151,0.144,0.141,0.138,0.135,0.132,0.129,0.125,0.122,0.119,0.116,0.113,0.111,0.11,0.108,0.106,0.105,0.098,0.092,0.086,0.081,0.077,0.068,0.062,0.057,0.053,0.05,0.049,0.047,0.046,0.045,0.044,0.043,0.043,0.043,0.043,0.042,0.042,0.042,0.041,0.041,0.041
49,Quartzite,Layer 1_5,0.0,0.197,0.192,0.186,0.181,0.176,0.168,0.161,0.154,0.147,0.141,0.137,0.134,0.131,0.128,0.125,0.122,0.119,0.116,0.113,0.11,0.108,0.107,0.105,0.103,0.102,0.095,0.089,0.084,0.079,0.075,0.066,0.06,0.056,0.052,0.049,0.048,0.046,0.045,0.044,0.043,0.042,0.042,0.042,0.042,0.041,0.041,0.041,0.041,0.04,0.04
